recruit,ranking,high.school,position,score,year
Marcus Bingham Jr.,75,"Catholic Central (Grand Rapids, MI)",PF,94,2018
Prentiss Hubb,76,Gonzaga (),SG,93,2018
Jermaine Harris,77,"Capitol Christian Academy (Upper Marlboro, MD)",C,93,2018
Nate Laszewski,78,"Northfield Mount Hermon (Northfield, MA)",PF,93,2018
Carte'Are Gordon,79,"Webster Groves (St. Louis, MO)",C,93,2018
AJ Green,80,"Cedar Falls (Cedar Falls, IA)",PG,93,2018
Jalen Carey,81,"Immaculate Conception (NEW YORK CITY, NY)",CG,93,2018
Keyontae Johnson,82,"Oak Hill (Oak Hill, WV)",SF,93,2018
Jaiden Delaire,83,"The Loomis Chaffee School (Granby, CT)",PF,93,2018
Leaky Black,84,"Cox Mill (Concord, NC)",SF,93,2018
Matt Bradley,85,"San Bernardino (San Bernardino, CA)",SF,93,2018
Miller Kopp,86,"Houston Christian (Houston, TX)",SF,93,2018
Tyger Campbell,87,"La Lumiere School (La Porte, IN)",PG,93,2018
Jared Butler,88,"Riverside Academy (Reserve, LA)",PG,93,2018
Myreon Jones,89,"Lincoln Academy (Suwanee, GA)",CG,93,2018
Robby Carmody,90,"Mars Area (Mars, PA)",SG,93,2018
Colin Castleton,91,"Father Lopez Catholic (Daytona Beach, FL)",C,93,2018
Matthew Mayer,92,"Austin Westlake (Austin, TX)",SF,92,2018
J'Raan Brooks,93,"Garfield (Seattle, WA)",PF,92,2018
Samson Froling,94,"Australian Institute of Sport (Canberra, SW)",PF,92,2018
Matthias Tass,95,"Tallinna Reaalkool (Estonia, ESTO)",C,92,2018
Derek Culver,96,"Brewster Academy (Wolfeboro, NH)",C,92,2018
Brandon Johns,97,"East Lansing (East Lansing, MI)",PF,92,2018
Josh LeBlanc,98,"Madison Prep Academy (Baton Rouge, LA)",PF,92,2018
Kaden Archie,99,"Midlothian (Midlothian, TX)",SF,92,2018
Damezi Anderson,100,"Riley (South Bend, IN)",SF,92,2018
Timmy Allen,101,"Red Mountain (Mesa, AZ)",SF,92,2018
Tevian Jones,102,"Culver City (Culver City, CA)",SF,91,2018
Zion Griffin,103,"Hinsdale South (Darien, IL)",SF,91,2018
Dalano Banton,104,"Redemption Christian Academy (Troy, NY)",PG,91,2018
Bryce Hamilton,105,"Pasadena (Pasadena, CA)",SG,91,2018
Luther Muhammad,106,"Hudson Catholic (Jersey City, NJ)",SG,91,2018
Noah Locke,107,"McDonogh School (Owings Mills, MD)",SG,91,2018
Saddiq Bey,108,"Sidwell Friends School (Washington, DC)",SF,91,2018
Trey McGowens,109,"Hargrave Military Academy (Chatham, VA)",CG,91,2018
Aaron Henry,110,"Ben Davis (Indianapolis, IN)",SF,91,2018
Isaiah Mucius,111,"Brewster Academy (FAR ROCKAWAY, NY)",SF,91,2018
Montez Mathis,112,"John Carroll School (Essex, MD)",SG,91,2018
Ian Steere,113,"Northwood Temple Academy (High Point, NC)",C,91,2018
Manny Bates,114,"Northwood Temple Academy (Fayetteville, NC)",C,91,2018
Bryce Wills,115,"Iona Preparatory School (New Rochelle, NY)",SG,91,2018
Nate Hinton,116,"Gaston Day School Inc (Gastonia, NC)",SG,91,2018
Jaelin Llewellyn,117,"Virginia Episcopal School (Mono, ON)",PG,91,2018
Robert Phinisee,118,"Mccutcheon (Lafayette, IN)",PG,91,2018
James Akinjo,119,"Salesian (Richmond, CA)",PG,91,2018
Uros Plavsic,120,"Hamilton Heights Christian Academy (Serbia, SERB)",C,91,2018
Marcus Zegarowski,121,"Tilton School (HAMILTON, MA)",CG,90,2018
Amanze Ngumezi,122,"Johnson (Savannah, GA)",PF,90,2018
Jericole Hellems,123,"Chaminade (St. Louis, MO)",SF,90,2018
Antwann Jones,124,"Oak Ridge (Orlando, FL)",SG,90,2018
Jared Rhoden,125,"Our Saviour Lutheran School (Bronx, NY)",SG,90,2018
Dane Goodwin,126,"Upper Arlington (Columbus, OH)",SG,90,2018
Keyshawn Embery,127,"IMG Academy (Bradenton, FL)",PG,90,2018
Tyler Harris,128,"Cordova (Memphis, TN)",PG,90,2018
Jaxson Hayes,129,"Archbishop Moeller (Cincinnati, OH)",PF,90,2018
Jimmy Nichols,130,"Conway (Conway, SC)",PF,90,2018
Jamal Bieniemy,131,"Katy Tompkins (Katy, TX)",PG,90,2018
Gabe Kalscheur,132,"De La Salle (Minneapolis, MN)",SG,90,2018
Dwayne Cohill,133,"Holy Name (Cleveland, OH)",CG,90,2018
Pete Nance,134,"Revere (Richfield, OH)",PF,90,2018
Jake Walter,135,"Covington Catholic (Alexandria, KY)",C,90,2018
Tyrese Martin,136,"Massanutten Military Academy (Allentown, PA)",SF,90,2018
Jacobi Gordon,137,"Fallbrook College Preparatory Academy (Houston, TX)",SF,90,2018
Gabe Brown,138,"Belleville (Belleville, MI)",SF,90,2018
Nelson Phillips,139,"Warner Robins (Warner Robins, GA)",SG,90,2018
Jake Forrester,140,"Westtown School (Harrisburg, PA)",PF,90,2018
Eric Hunter,141,"Charles A Tindley Accelerated Sch (Indianapolis, IN)",SG,90,2018
Jeenathan Williams,142,"Prolific Prep (Rochester, NY)",SG,90,2018
Logan Johnson,143,"St. Francis (Mountain View, CA)",PG,90,2018
Feron Hunt,144,"DeSoto (DeSoto, TX)",SF,90,2018
Jamal Bey,145,"Bishop Gorman (Las Vegas, NV)",SF,90,2018
Omar Thielemans,146,"Gistel Oostende (Belgium, BELG)",SF,90,2018
Elijah Hardy,147,"Bishop O'Dowd (Oakland, CA)",PG,90,2018
Francisco Caffaro,148,"Argentina (Argentina, ARGE)",C,90,2018
Both Gach,149,"Compass Prep (Chandler, AZ)",SF,90,2018
Luis Rodriguez,150,"Woodstock Academy (Woodstock, CT)",SF,90,2018
Anthony Edwards,1,"Holy Spirit Preparatory School (Atlanta, GA)",SG,100,2019
James Wiseman,2,"Memphis East (Memphis, TN)",C,100,2019
Cole Anthony,3,"Oak Hill Academy (Mouth Of Wilson, VA)",CG,100,2019
Isaiah Stewart,4,"La Lumiere School (La Porte, IN)",C,99,2019
RJ Hampton,5,"Little Elm (Little Elm, TX)",CG,99,2019
Vernon Carey,6,"University School (Fort Lauderdale, FL)",C,99,2019
Scottie Lewis,7,"Ranney School (Eatontown, NJ)",SF,99,2019
Nico Mannion,8,"Pinnacle (Phoenix, AZ)",PG,99,2019
Precious Achiuwa,9,"Montverde Academy (Montverde, FL)",SF,99,2019
Tyrese Maxey,10,"South Garland (Garland, TX)",CG,99,2019
Kahlil Whitney,11,"Roselle Catholic (Roselle, NJ)",SF,99,2019
Tre Mann,12,"The Villages Charter (The Villages, FL)",PG,99,2019
Jaden McDaniels,13,"Federal Way (Federal Way, WA)",PF,99,2019
Keion Brooks,14,"La Lumiere School (Fort Wayne, IN)",SF,99,2019
N'Faly Dante,15,"Sunrise Christian Academy (Wichita, KS)",C,99,2019
Samuell Williamson,16,"Rockwall (Rockwall, TX)",SF,99,2019
Matthew Hurt,17,"John Marshall Senior (Rochester, MN)",PF,98,2019
Josh Green,18,"IMG Academy (Bradenton, FL)",SF,98,2019
Jeremiah Robinson-Earl,19,"IMG Academy (Bradenton, FL)",PF,98,2019
Trendon Watford,20,"Mountain Brook (Birmingham, AL)",PF,98,2019
Bryan Antoine,21,"Ranney School (Eatontown, NJ)",SG,98,2019
Akok Akok,22,"Putnam Science Academy (Putnam, CT)",PF,98,2019
Oscar Tshiebwe,23,"Kennedy Catholic (Hermitage, PA)",C,98,2019
Isaiah Mobley,24,"Rancho Christian (Temecula, CA)",PF,98,2019
C.J. Walker,25,"Oak Ridge (Orlando, FL)",PF,97,2019
LaMelo Ball,26,"SPIRE Academy (Chino, CA)",PG,97,2019
Onyeka Okongwu,27,"Chino Hills (Chino, CA)",C,97,2019
Trayce Jackson-Davis,28,"Center Grove (Greenwood, IN)",C,97,2019
Josiah-Jordan James,29,"Porter-Gaud School (Charleston, SC)",CG,97,2019
Patrick Williams,30,"West Charlotte (Charlotte, NC)",SF,97,2019
Johnny Juzang,31,"Harvard Westlake (Studio City, CA)",SF,97,2019
DJ Carton,32,"Bettendorf (Bettendorf, IA)",PG,97,2019
Boogie Ellis,33,"Mission Bay (San Diego, CA)",CG,97,2019
Armando Bacot,34,"IMG Academy (Bradenton, FL)",C,97,2019
Cassius Stanley,35,"Sierra Canyon (Chatsworth, CA)",SG,97,2019
Will Baker,36,"Austin Westlake (Austin, TX)",C,97,2019
Isaac Okoro,37,"McEachern (Powder Springs, GA)",SF,97,2019
Wendell Moore,38,"Cox Mill (Concord, NC)",SF,97,2019
Rocket Watts,39,"SPIRE Academy (Geneva, OH)",CG,97,2019
Hopkins,40,"(Hopkins, MN)",PF,97,2019
Anton Watson,41,"Gonzaga Prep School (Spokane, WA)",SF,97,2019
Jahmi'us Ramsey,42,"Duncanville (Mansfield, TX)",CG,97,2019
Franz Wagner,43,"Germany (Germany, GERM)",SF,97,2019
Jalen Lecque,44,"Brewster Academy (Wolfeboro, NH)",CG,97,2019
Martynas Arlauskas,45,"Lithuania (Lithuania, LITH)",SF,96,2019
Jalen Wilson,46,"Denton Guyer (Denton, TX)",SF,96,2019
Pavel Zakharov,47,"Montverde Academy (Montverde, FL)",C,96,2019
Omar Payne,48,"Montverde Academy (Montverde, FL)",C,96,2019
Kai Jones,49,"Brewster Academy (Wolfeboro, NH)",C,96,2019
Casey Morsell,50,"St. John's College (Washington, DC)",SG,96,2019
Lester Quinones,51,"IMG Academy (Bradenton, FL)",SG,96,2019
De'Vion Harmon,52,"Denton Guyer (Denton, TX)",PG,96,2019
James Bouknight,53,"MacDuffie School (Granby, MA)",SG,96,2019
Kofi Cockburn,54,"Oak Hill Academy (Mouth Of Wilson, VA)",C,96,2019
Tristan Enaruna,55,"Wasatch Academy (Netherlands, NETH)",SF,96,2019
Addison Patterson,56,"Bella Vista Prep (Mississauga, ON)",SG,96,2019
Drew Timme,57,"Pearce (Richardson, TX)",C,96,2019
Justin Moore,58,"DeMatha Catholic (Hyattsville, MD)",SG,96,2019
Robbie Beran,59,"Collegiate School (Richmond, VA)",PF,96,2019
EJ Liddell,60,"Belleville West (Belleville, IL)",PF,96,2019
Santiago Aldama,61,"Spain (Spain, SPAI)",PF,96,2019
Aidan Igiehon,62,"Lawrence Woodmere Academy (Brooklyn, NY)",C,96,2019
Alonzo Gaffney,63,"Brewster Academy (Cleveland, OH)",SF,96,2019
Nah'shon Hyland,64,"St. Georges Tech (Middletown, DE)",PG,95,2019
Max Agbonkpolo,65,"Santa Margarita Catholic (Rancho Santa Margarita, CA)",SF,95,2019
Oumar Ballo,66,"NBA Academy Latin America (Mali, MALI)",C,95,2019
Anthony Harris,67,"Paul VI Catholic (Fairfax, VA)",CG,95,2019
David Johnson,68,"Trinity (Louisville, KY)",CG,95,2019
Harlond Beverly,69,"Montverde Academy (Montverde, FL)",CG,95,2019
Zach Harvey,70,"Prolific Prep (Topeka, KS)",SG,95,2019
Donovan Williams,71,"Fort Bend Elkins (Missouri City, TX)",SG,95,2019
Quincy Guerrier,72,"Thetford Academy (Quebec City, QC)",SF,95,2019
Romeo Weems,73,"New Haven (New Haven, MI)",PF,95,2019
Cole Bajema,74,"Lynden Christian School (Lynden, WA)",SF,95,2019
Eric Dixon,75,"Abington (Abington, PA)",PF,95,2019
Malik Hall,76,"Sunrise Christian Academy (Wichita, KS)",PF,94,2019
Terry Armstrong,77,"Bella Vista Prep (Scottsdale, AZ)",SG,94,2019
Tyrell Terry,78,"De La Salle (Minneapolis, MN)",PG,94,2019
Santiago Vescovi,79,"NBA Global Academy (Uruguay, URUG)",PG,94,2019
Kadin Shedrick,80,"Holly Springs (Holly Springs, NC)",C,94,2019
DJ Jeffries,81,"Olive Branch (Olive Branch, MS)",PF,94,2019
KyKy Tandy,82,"University Heights Academy (Hopkinsville, KY)",CG,94,2019
Marcus Watson,83,"Buford (Buford, GA)",SG,94,2019
Jalen Bridges,84,"Fairmont (Fairmont, WV)",SF,94,2019
P.J. Fuller,85,"Findlay Prep (Seattle, WA)",SG,94,2019
Greg Gantt,86,"Trinity Christian School (Fayetteville, NC)",SF,94,2019
Christian Brown,87,"Oak Hill Academy (Mouth Of Wilson, VA)",SF,93,2019
Isaiah Wong,88,"Monsignor Bonner (Lawrenceville, NJ)",CG,93,2019
Cashius McNeilly,89,"Thornlea Secondary School (Thornhill, ON)",SG,93,2019
RaeQuan Battle,90,"Marysville Pilchuck (Marysville, WA)",SG,93,2019
Makhi Mitchell,91,"Jackson-Reed (Washington, DC)",C,93,2019
Rylan Jones,92,"Olympus (Logan, UT)",PG,93,2019
Balsa Koprivica,93,"Montverde Academy (Montverde, FL)",C,93,2019
Isaac Johnson,94,"American Fork (American Fork, UT)",C,93,2019
Symir Torrence,95,"Vermont Academy (Syracuse, NY)",CG,93,2019
Christian Koloko,96,"Sierra Canyon (Chatsworth, CA)",C,92,2019
Dereon Seabron,97,"Massanutten Military Academy (Woodstock, VA)",CG,92,2019
Carver,98,"(Montgomery, AL)",SF,92,2019
Dontaie Allen,99,"Pendleton County (Falmouth, KY)",SF,92,2019
Jaime Jaquez,100,"Adolfo Camarillo (Camarillo, CA)",SF,92,2019
Damion Baugh,101,"Tennessee Preparatory Academy (Memphis, TN)",CG,92,2019
Dajuan Harris,102,"Rock Bridge (Columbia, MO)",PG,92,2019
Brock Ravet,103,"Kittitas (Mabton, WA)",CG,92,2019
Jordan Rawls,104,"Hamilton Heights Christian Academy (Chattanooga, TN)",PG,92,2019
Chandler Lawson,105,"Wooddale (Memphis, TN)",PF,92,2019
Isaiah Ihnen,106,"Germany (Germany, GERM)",PF,92,2019
Tre Mitchell,107,"Woodstock Academy (Pittsburgh, PA)",C,91,2019
Zach Freemantle,108,"Bergen Catholic (Oradell, NJ)",C,91,2019
Raymond Hawkins,109,"Findlay Prep (Oakland, CA)",C,91,2019
Jaylin Williams,110,"Brantley County (Nahunta, GA)",PF,91,2019
Jaelen House,111,"Shadow Mountain (Phoenix, AZ)",PG,91,2019
Avery Anderson III,112,"Northwest (Justin, TX)",CG,91,2019
Francisco Farabello,113,"NBA Global Academy (Australia, AUST)",PG,91,2019
Tray Jackson,114,"Sunrise Christian Academy (Detroit, MI)",PF,91,2019
Tre Williams,115,"Wasatch Academy (Mount Pleasant, UT)",SG,91,2019
Keeshawn Barthelemy,116,"Thornlea Secondary School (Thornhill, ON)",PG,91,2019
Tyrell Jones,117,"West Oaks Academy (Orlando, FL)",CG,91,2019
Dahmir Bishop,118,"Imhotep Institute (Philadelphia, PA)",SG,91,2019
Chris Harris Jr.,119,"South Garland (Garland, TX)",SG,91,2019
Austin Crowley,120,"Sunrise Christian Academy (Wichita, KS)",SG,91,2019
Juwan Gary,121,"Gray Academy (Columbia, SC)",SF,91,2019
Tyrese Samuel,122,"Orangeville Prep (Mono, ON)",PF,91,2019
Dylan Disu,123,"Hendrickson (Pflugerville, TX)",PF,91,2019
Qudus Wahab,124,"Flint Hill School (Ashburn, VA)",C,91,2019
Patrick McCaffery,125,"Iowa City West (Iowa City, IA)",SF,91,2019
Victor Iwuakor,126,"Sulphur Springs (Sulphur Springs, TX)",C,91,2019
Terrence Shannon Jr.,127,"IMG Academy (Bradenton, FL)",SF,91,2019
Toumani Camara,128,"Chaminade-Madonna (Belgium, BELG)",SF,91,2019
D.J. Thorpe,129,"Lake Travis (Austin, TX)",C,91,2019
Samari Curtis,130,"Xenia (Xenia, OH)",SG,91,2019
Diante Smith,131,"Choctawhatchee (Fort Walton Beach, FL)",SF,90,2019
Elias King,132,"Lincoln Academy (Snellville, GA)",SF,90,2019
Jalen Gaffney,133,"Westtown School (Columbus, NJ)",CG,90,2019
Jesse Edwards,134,"IMG Academy (Netherlands, NETH)",C,90,2019
Kevin McCullar,135,"Wagner (San Antonio, TX)",SF,90,2019
Joel Brown,136,"Brewster Academy (Canada, CANA)",PG,90,2019
Khalif Battle,137,"Trenton Catholic School (Metuchen, NJ)",SG,90,2019
Jalen Hill,138,"Clark (Las Vegas, NV)",SF,90,2019
Armaan Franklin,139,"Cathedral (Indianapolis, IN)",SG,90,2019
Jae'Lyn Withers,140,"Cleveland Heights (Cleveland, OH)",PF,90,2019
Chris Ledlum,141,"St Peters Boys (Staten Island, NY)",SF,90,2019
Tyson Etienne,142,"Putnam Science Academy (Putnam, CT)",CG,90,2019
Chase Hunter,143,"Westlake (Atlanta, GA)",CG,90,2019
Ford Cooper,144,"United Faith Christian Academy (Charlotte, NC)",PG,90,2019
Christian Braun,145,"Blue Valley Northwest (Overland Park, KS)",SF,89,2019
Dieonte Miles,146,"Walton-verona (Walton, KY)",C,89,2019
Antwan January,147,"Santa Monica (Santa Monica, CA)",C,89,2019
Carl Lewis,148,"Hillcrest Prep (Phoenix, AZ)",C,89,2019
Naheem McLeod,149,"Plymouth-Whitemarsh (Plymouth Meeting, PA)",C,89,2019
Caleb Mills,150,"Asheville Christian Academy (Swannanoa, NC)",CG,89,2019
Cade Cunningham,1,"Montverde Academy (Arlington, TX)",PG,100,2020
Jalen Green,2,"Prolific Prep (Napa, CA)",CG,100,2020
Evan Mobley,3,"Rancho Christian (Temecula, CA)",C,100,2020
Jonathan Kuminga,4,"The Patrick School (Congo, CONG)",SF,100,2020
Ziaire Williams,5,"Sierra Canyon (Chatsworth, CA)",SF,100,2020
Brandon Boston Jr.,6,"Sierra Canyon (Chatsworth, CA)",SG,99,2020
Caleb Love,7,"Christian Brothers College (St. Louis, MO)",PG,99,2020
Josh Christopher,8,"Mayfair (Lakewood, CA)",SG,99,2020
Scottie Barnes,9,"Montverde Academy (Montverde, FL)",PF,99,2020
Terrence Clarke,10,"Brewster Academy (Boston, MA)",SG,99,2020
Greg Brown III,11,"Austin Vandegrift (Austin, TX)",PF,99,2020
Moussa Cisse,12,"Lausanne Collegiate School (Memphis, TN)",C,99,2020
Jalen Suggs,13,"Minnehaha Academy (Minneapolis, MN)",CG,99,2020
Jalen Johnson,14,"Nicolet (Milwaukee, WI)",SF,99,2020
Daishen Nix,15,"Trinity International Schools (Las Vegas, NV)",PG,99,2020
Jaden Springer,16,"IMG Academy (Bradenton, FL)",CG,99,2020
Keon Johnson,17,"The Webb School (Bell Buckle, TN)",SG,98,2020
Mark Williams,18,"IMG Academy (Bradenton, FL)",C,98,2020
Makur Maker,19,"Hillcrest Prep (Phoenix, AZ)",C,98,2020
Bryce Thompson,20,"Booker T. Washington (Tulsa, OK)",CG,98,2020
Josh Primo,21,"Royal Crown (Toronto, OH)",CG,98,2020
Day'Ron Sharpe,22,"Montverde Academy (Montverde, FL)",C,98,2020
DJ Steward,23,"Whitney Young (Chicago, IL)",CG,98,2020
Jeremy Roach,24,"Paul VI Catholic (Fairfax, VA)",PG,98,2020
Cameron Thomas,25,"Oak Hill Academy (Chesapeake, VA)",SG,98,2020
Khristian Lander,26,"Francis Joseph Reitz Sch (Evansville, IN)",PG,98,2020
Sharife Cooper,27,"McEachern (Marietta, GA)",PG,98,2020
Walker Kessler,28,"Woodward Academy (Fairburn, GA)",C,98,2020
Karim Mane,29,"Vanier College (Montreal, QC)",CG,98,2020
Isaiah Todd,30,"Word Of God Christian Academy (Raleigh, NC)",PF,98,2020
Marcus Bagley,31,"Sheldon (Sacramento, CA)",SF,97,2020
Dawson Garcia,32,"Prior Lake (Prior Lake, MN)",PF,97,2020
Josh Hall,33,"Moravian Prep (Durham, NC)",SF,97,2020
Isaiah Jackson,34,"Waterford Mott (Waterford, MI)",C,97,2020
Adam Miller,35,"Morgan Park HS (Chicago, IL)",SG,97,2020
Earl Timberlake,36,"DeMatha Catholic (Hyattsville, MD)",SG,97,2020
Devin Askew,37,"Mater Dei (Santa Ana, CA)",PG,97,2020
Nimari Burnett,38,"Prolific Prep (Napa, CA)",CG,97,2020
KK Robinson,39,"Oak Hill Academy (Bryant, AR)",PG,97,2020
Moses Moody,40,"Montverde Academy (Little Rock, AR)",SG,97,2020
Jabri Abdur-Rahim,41,"Blair Academy (Blairstown, NJ)",SF,97,2020
Mac Etienne,42,"Brewster Academy (Wolfeboro, NH)",C,97,2020
Mady Sissoko,43,"Wasatch Academy (Mount Pleasant, UT)",C,97,2020
Lance Ware,44,"Camden (Burlington, NJ)",PF,97,2020
Henry Coleman,45,"Trinity Episcopal (Richmond, VA)",PF,97,2020
Dalen Terry,46,"Hillcrest Prep (Phoenix, AZ)",SF,97,2020
Matthew Murrell,47,"IMG Academy (Bradenton, FL)",SG,97,2020
Franck Kepnang,48,"Westtown School (Norristown, PA)",C,96,2020
Samson Ruzhentsev,49,"Hamilton Heights Christian Academy (Chattanooga, TN)",SF,96,2020
Dwon Odom,50,"St. Francis (Alpharetta, GA)",PG,96,2020
Andre Jackson,51,"Albany (Albany, NY)",SF,96,2020
Hunter Dickinson,52,"DeMatha Catholic (Hyattsville, MD)",C,96,2020
Bennedict Mathurin,53,"NBA Academy Latin America (Mexico, MEXI)",SF,96,2020
Jaemyn Brakefield,54,"Huntington Expression Prep (Huntington, WV)",PF,96,2020
JT Thor,55,"Norcross (Norcross, GA)",PF,96,2020
Trey Patterson,56,"Rutgers Preparatory School (Somerset, NJ)",PF,96,2020
"The Skill Factory (Atlanta, GA)",57,C,7-1 / 200,57 12 5,2020
Azuolas Tubelis,58,"Lithuania (Lithuania, LITH)",PF,96,2020
MarJon Beauchamp,59,"Dream City Christian (Glendale, AZ)",SF,96,2020
R.J. Davis,60,"Archbishop Stepinac (White Plains, NY)",CG,96,2020
Andre Curbelo,61,"Long Island Lutheran (Puerto Rico, PUER)",PG,96,2020
Clifford Omoruyi,62,"Roselle Catholic (Roselle, NJ)",C,96,2020
Alex Fudge,63,"Riverside (Jacksonville, FL)",SF,96,2020
Matthew-Alexander Moncrieffe,64,"Orangeville Prep (Toronto, ON)",PF,96,2020
Deivon Smith,65,"Grayson (Loganville, GA)",PG,96,2020
Micah Peavy,66,"Duncanville (Duncanville, TX)",SF,96,2020
Ian Martinez,67,"JSerra Catholic (San Juan Capistrano, CA)",SG,96,2020
Kenyon Martin,68,"IMG Academy (Bradenton, FL)",PF,96,2020
Kerr Kriisa,69,"Estonia (Estonia, ESTO)",PG,95,2020
Jordan Nesbitt,70,"St Louis Christian Academy (St. Louis, MO)",SF,95,2020
Puff Johnson,71,"Hillcrest Prep (Phoenix, AZ)",SF,95,2020
Reece Beekman,72,"Scotlandville Magnet (Baton Rouge, LA)",PG,95,2020
Rati Andronikashvili,73,"Georgia (Georgia, GEOR)",PG,95,2020
PJ Hall,74,"Dorman (Roebuck, SC)",C,95,2020
Chibuzo Agbo,75,"St. Augustine (San Diego, CA)",SF,95,2020
Cam Hayes,76,"Greensboro Day School (Greensboro, NC)",PG,95,2020
Reese Dixon-Waters,77,"St. Bernard (Playa Del Rey, CA)",SG,95,2020
James Graham,78,"Nicolet (Milwaukee, WI)",SF,95,2020
Julian Strawther,79,"Liberty (Henderson, NV)",SF,95,2020
Isaiah Cottrell,80,"Huntington Expression Prep (Huntington, WV)",PF,95,2020
Osasere Ighodaro,81,"Desert Vista (Phoenix, AZ)",PF,95,2020
Jaxson Robinson,82,"Ada (Ada, OK)",SF,95,2020
Jaylen Clark,83,"Etiwanda (Rancho Cucamonga, CA)",SG,95,2020
Jalen Terry,84,"Beecher (Mount Morris, MI)",PG,95,2020
Carter Whitt,85,"Brewster Academy (Wolfeboro, NH)",PG,94,2020
Mwani Wilkinson,86,"Bishop Gorman (Las Vegas, NV)",SF,94,2020
JJ Traynor,87,"Bardstown (Bardstown, KY)",PF,94,2020
Cam'Ron Fletcher,88,"Vashon (St. Louis, MO)",SF,94,2020
Dominick Harris,89,"Rancho Christian (Temecula, CA)",CG,94,2020
Olivier-Maxence Prosper,90,"NBA Academy Latin America (Mexico, MEXI)",PF,94,2020
Alex Tchikou,91,"Dream City Christian (Glendale, AZ)",PF,94,2020
Kadary Richmond,92,"Brewster Academy (Wolfeboro, NH)",SF,94,2020
Matt Cross,93,"Brewster Academy (Beverly, MA)",SF,94,2020
Tramon Mark,94,"Dickinson (Dickinson, TX)",PG,94,2020
Max Murrell,95,"Millard North (Omaha, NE)",PF,94,2020
Corey Walker,96,"Hargrave Military Academy (Chatham, VA)",PF,94,2020
Eric Gaines,97,"Lithonia (Lithonia, GA)",CG,93,2020
Hassan Diarra,98,"Putnam Science Academy (Putnam, CT)",PG,93,2020
Jaden Ivey,99,"La Lumiere School (La Porte, IN)",SG,93,2020
Meechie Johnson,100,"Garfield Heights (Cleveland, OH)",PG,93,2020
A.J. Hoggard,101,"Huntington Expression Prep (Wayne, PA)",CG,93,2020
Jaylin Williams,102,"Northside (Fort Smith, AR)",C,93,2020
Xavier Foster,103,"Oskaloosa (Oskaloosa, IA)",C,93,2020
Adama Sanogo,104,"The Patrick School (Mali, MALI)",C,93,2020
Terrance Williams II,105,"Gonzaga (Washington, DC)",PF,93,2020
Dain Dainja,106,"Park Center (Minneapolis, MN)",C,93,2020
Ryan Kalkbrenner,107,"Trinity Catholic (St. Louis, MO)",C,93,2020
Hopkins,108,"(Hopkins, MN)",SG,92,2020
Ben Gregg,109,"Clackamas (Clackamas, OR)",PF,92,2020
Nique Clifford,110,"The Vanguard School (Colorado Springs, CO)",SG,92,2020
K.D. Johnson,111,"Hargrave Military Academy (Chatham, VA)",PG,92,2020
Michael O'Connell,112,"Blair Academy (Blairstown, NJ)",PG,92,2020
Keon Ambrose-Hylton,113,"Andrews Osborne Academy (Willoughby, OH)",PF,92,2020
Zeb Jackson,114,"Montverde Academy (Maumee, OH)",SG,92,2020
Ben Carlson,115,"East Ridge (Saint Paul, MN)",PF,92,2020
Jabe Mullins,116,"Mount Si (Snoqualmie, WA)",SG,92,2020
Pavlo Dziuba,117,"Ukraine (Ukraine, UKRA)",PF,92,2020
Daniel Batcho,118,"France (France, FRAN)",C,92,2020
John Hugley IV,119,"Brush (Cleveland, OH)",C,92,2020
Justin Lewis,120,"Baltimore Polytechnic Institute (Towson, MD)",PF,91,2020
David Jones,121,"Teays Valley Christian School (Scott Depot, WV)",SF,91,2020
Jamal Mashburn Jr.,122,"Brewster Academy (Miami, FL)",CG,91,2020
LJ Cryer,123,"Morton Ranch (Katy, TX)",PG,91,2020
William Jeffress,124,"McDowell (Erie, PA)",PF,91,2020
Shakeel Moore,125,"Moravian Prep (Greensboro, NC)",PG,91,2020
Pelle Larsson,126,"Sweden (Sweden, SWED)",CG,91,2020
Javonte Brown-Ferguson,127,"Thornlea Secondary School (Thornhill, ON)",C,91,2020
Caleb Murphy,128,"Grayson (Loganville, GA)",CG,91,2020
Colby Jones,129,"Mountain Brook (Birmingham, AL)",SG,91,2020
Jordan Geronimo,130,"St. Paul's School (Concord, NH)",SF,91,2020
Joe Bamisile,131,"Monacan (Richmond, VA)",SG,91,2020
Josh O'Garro,132,"Santa Clarita Christian School (Cayman Islands, CAYM)",SF,90,2020
Maxwell Lewis,133,"Hillcrest Prep (Phoenix, AZ)",SF,90,2020
Woody Newton,134,"Mt. Zion Prep (Baltimore, MD)",PF,90,2020
Eugene Brown III,135,"Southwest DeKalb (Conyers, GA)",SG,90,2020
Marcus Dockery,136,"Brewster Academy (Wolfeboro, NH)",CG,90,2020
Ethan Morton,137,"Butler Area (Butler, PA)",CG,90,2020
Rondel Walker,138,"Putnam City West (Oklahoma City, OK)",CG,90,2020
Keon Edwards,139,"Hillcrest Prep (Phoenix, AZ)",SF,90,2020
Chris Moore,140,"West Memphis (West Memphis, AR)",PF,90,2020
Andrej Jakimovski,141,"Macedonia (Macedonia, MACE)",SF,90,2020
Tibet Görener,142,"Orange Lutheran (Istanbul, IS)",SF,90,2020
Josh Taylor,143,"Norcross (Norcross, GA)",PF,90,2020
Justice Ajogbor,144,"Christ School (Arden, NC)",C,90,2020
Steven Crowl,145,"Eastview Senior (Saint Paul, MN)",C,90,2020
