recruit,ranking,high.school,position,score,year
Mackenzie Mgbako,10,"Roselle Catholic (Gladstone, NJ)",PF,98,2023
Xavier Booker,11,"Cathedral (Indianapolis, IN)",C,98,2023
Elliot Cadeau,12,"Link Academy (Branson, MO)",PG,98,2023
Omaha Biliew,13,"Waukee (Waukee, IA)",PF,98,2023
Jared McCain,14,"Centennial (Corona, CA)",CG,98,2023
Aday Mara,15,"Casademont Zaragoza (Spain, SPAI)",C,98,2023
Aden Holloway,16,"Prolific Prep (Napa, CA)",PG,98,2023
TJ Power,17,"Worcester Academy (Shrewsbury, MA)",PF,98,2023
Kwame Evans Jr.,18,"Montverde Academy (Montverde, FL)",PF,97,2023
Andrej Stojakovic,19,"Jesuit (Carmichael, CA)",SF,97,2023
Elmarko Jackson,20,"South Kent School (South Kent, CT)",PG,97,2023
Rob Dillingham,21,"Overtime Elite (Atlanta, GA)",PG,97,2023
Sean Stewart,22,"Montverde Academy (Montverde, FL)",PF,97,2023
Caleb Foster,23,"Notre Dame (Sherman Oaks, CA)",CG,96,2023
AJ Johnson,24,"SoCal Academy (Castaic, CA)",CG,96,2023
Dennis Evans,25,"Hillcrest (Riverside, CA)",C,96,2023
Jackson Shelstad,26,"West Linn (West Linn, OR)",PG,95,2023
DeShawn Harris-Smith,27,"Paul VI Catholic (Fairfax, VA)",SF,95,2023
Bronny James,28,"Sierra Canyon (Los Angeles, CA)",CG,95,2023
Baye Fall,29,"Accelerated Schools (Senegal, SENE)",C,95,2023
Dink Pate,30,"Pinkston (Dallas, TX)",SG,95,2023
Trentyn Flowers,31,"Combine Academy (Charlotte, NC)",SF,95,2023
Jeremy Fears,32,"Joliet West (Joliet, IL)",PG,95,2023
Taison Chatman,33,"Totino-Grace (Minneapolis, MN)",CG,95,2023
Dedan Thomas Jr.,34,"Liberty (Henderson, NV)",PG,95,2023
Johnny Furphy,35,"Centre of Excellence (Melbourne, VC)",SF,94,2023
Berke Buyuktuncel,36,"Turkey (Turkey, TURK)",PF,94,2023
Milan Momcilovic,37,"Pewaukee (Pewaukee, WI)",PF,94,2023
Eric Dailey Jr.,38,"IMG Academy (Bradenton, FL)",PF,94,2023
Mikey Williams,39,"San Ysidro (San Diego, CA)",CG,94,2023
Mookie Cook,40,"Compass Prep (Chandler, AZ)",SF,94,2023
Miro Little,41,"Sunrise Christian Academy (Wichita, KS)",PG,94,2023
Yves Missi,42,"Prolific Prep (Napa, CA)",C,94,2023
Ilane Fibleuil,43,"France (France, FRAN)",SG,94,2023
Solomon Ball,44,"Brewster Academy (Sharpsburg, MD)",SG,94,2023
Brandon Garrison,45,"Del City (Oklahoma City, OK)",C,94,2023
Coen Carr,46,"Legacy Early College (Greenville, SC)",PF,94,2023
Garwey Dual,47,"SoCal Academy (Castaic, CA)",SG,94,2023
Elijah Gertrude,48,"Hudson Catholic (Jersey City, NJ)",SG,94,2023
Simeon Wilcher,49,"Roselle Catholic (Roselle, NJ)",CG,94,2023
Jarin Stevenson,50,"Seaforth (Pittsboro, NC)",PF,94,2023
Marcus Adams Jr.,51,"Narbonne (Harbor City, CA)",SF,94,2023
Devin Royal,52,"Pickerington Central (Pickerington, OH)",PF,94,2023
Wesley Yates III,53,"Beaumont United (Beaumont, TX)",SG,94,2023
Cameron Carr,54,"Link Academy (Branson, MO)",SG,94,2023
Carey Booth,55,"Brewster Academy (Wolfeboro, NH)",PF,94,2023
Jaylin Stewart,56,"Garfield (Seattle, WA)",SF,94,2023
Arrinten Page,57,"Wheeler (Marietta, GA)",C,94,2023
Layden Blocker,58,"Sunrise Christian Academy (Wichita, KS)",PG,94,2023
Kanaan Carlyle,59,"Overtime Elite (Atlanta, GA)",SG,93,2023
Scotty Middleton,60,"Sunrise Christian Academy (Wichita, KS)",SF,93,2023
Amani Hansberry,61,"Mount Saint Joseph (Baltimore, MD)",PF,93,2023
Dusty Stromer,62,"Notre Dame (Sherman Oaks, CA)",SF,93,2023
Myles Colvin,63,"Heritage Christian School (Indianapolis, IN)",SF,93,2023
Rayvon Griffith,64,"Compass Prep (Chandler, AZ)",SF,93,2023
Kaden Cooper,65,"The Skill Factory (Ada, OK)",SF,93,2023
Sebastian Mack,66,"Coronado (Henderson, NV)",SG,93,2023
Gavin Griffiths,67,"Kingswood Oxford (West Hartford, CT)",SF,93,2023
Jan Vide,68,"Slovenia (Slovenia, SLOV)",CG,93,2023
Joseph Tugler,69,"Cy Falls (Houston, TX)",C,92,2023
Brandon Williams,70,"Christ the King (Middle Village, NY)",PF,92,2023
Nils Cooper,71,"Crossroads School (Santa Monica, CA)",SG,92,2023
Silas Demary Jr.,72,"Combine Academy (Charlotte, NC)",CG,92,2023
Trey Green,73,"Prolific Prep (Napa, CA)",PG,92,2023
Papa Kante,74,"South Kent School (South Kent, CT)",C,92,2023
Jamie Kaiser,75,"IMG Academy (Burke, VA)",SF,92,2023
J.P. Estrella,76,"Brewster Academy (South Portland, ME)",C,92,2023
Blue Cain,77,"IMG Academy (Bradenton, FL)",SG,92,2023
Chris Johnson,78,"Montverde Academy (Missouri City, TX)",CG,92,2023
Reed Sheppard,79,"North Laurel (London, KY)",CG,92,2023
Jizzle James,80,"Olympia (Orlando, FL)",PG,92,2023
Devin Williams,81,"Centennial (Corona, CA)",PF,92,2023
Blake Buchanan,82,"Lake City (Coeur d'Alene, ID)",C,92,2023
Dai Dai Ames,83,"Kenwood Academy (Chicago, IL)",PG,92,2023
Cameron Christie,84,"Rolling Meadows (Rolling Meadows, IL)",SG,92,2023
KJ Lewis,85,"Duncanville (Duncanville, TX)",SF,92,2023
Sam Walters,86,"The Villages Charter (The Villages, FL)",PF,92,2023
Dylan James,87,"Winter Haven (Winter Haven, FL)",PF,92,2023
Jamari McDowell,88,"Manvel (Manvel, TX)",SG,92,2023
Jaland Lowe,89,"Fort Bend Marshall (Missouri City, TX)",PG,92,2023
Rashaud Marshall,90,"Blytheville (Blytheville, AR)",C,92,2023
Carlton Carrington,91,"St. Frances Academy (Baltimore, MD)",SG,91,2023
Zayden High,92,"Compass Prep (Spring Branch, TX)",PF,91,2023
Parker Friedrichsen,93,"Bixby (Bixby, OK)",SG,91,2023
Jordan Ross,94,"Compass Prep (Chandler, AZ)",PG,91,2023
Tre Norman,95,"Worcester Academy (Boston, MA)",CG,91,2023
Jace Posey,96,"Strake Jesuit College Prep (Houston, TX)",SF,91,2023
Corey Chest,97,"Link Academy (Branson, MO)",PF,91,2023
RJ Jones,98,"Wasatch Academy (Denton, TX)",SG,91,2023
Pryce Sandfort,99,"Waukee Northwest (Waukee, IA)",SF,91,2023
JT Rock,100,"Lincoln (Sioux Falls, SD)",C,90,2023
Reid Ducharme,101,"Brewster Academy (Boston, MA)",SF,90,2023
Trent Pierce,102,"Compass Prep (Chandler, AZ)",PF,90,2023
Dailyn Swain,103,"Columbus Africentric Early College (Columbus, OH)",SF,90,2023
Mouhamed Dioubate,104,"Putnam Science Academy (Putnam, CT)",PF,90,2023
Zaide Lowery,105,"La Lumiere School (La Porte, IN)",SF,90,2023
Macaleab Rich,106,"East St. Louis (East St. Louis, IL)",SF,90,2023
Paulius Murauskas,107,"Lithuania (Lithuania, LITH)",PF,90,2023
Collin Murray-Boyles,108,"Wasatch Academy (Mount Pleasant, UT)",PF,90,2023
Jacob McFarland,109,"Rancho Verde (Moreno Valley, CA)",C,90,2023
Taylor Bol Bowen,110,"Brewster Academy (Wolfeboro, NH)",PF,90,2023
Mike Nwoko,111,"Prolific Prep (Napa, CA)",C,90,2023
Isaiah Coleman,112,"Word Of God Christian Academy (Fort Washington, MD)",SG,90,2023
Jayden Ross,113,"Long Island Lutheran (Glen Head, NY)",SF,90,2023
Jason Rivera-Torres,114,"John Marshall (Richmond, VA)",SG,90,2023
Brandon Rechsteiner,115,"Etowah (Woodstock, GA)",PG,90,2023
Kaleb Glenn,116,"La Lumiere School (La Porte, IN)",SF,90,2023
Mayar Wol,117,"Moravian Prep (Hickory, NC)",PF,90,2023
Ty-Laur Johnson,118,"Our Saviour Lutheran School (Bronx, NY)",PG,90,2023
Mike Williams,119,"Bishop Walsh School (Cumberland, MD)",SG,90,2023
Carl Cherenfant,120,"Calvary Christian Academy (Fort Lauderdale, FL)",SF,90,2023
Alex Toohey,121,"NBA Global Academy (Australia, AUST)",PF,90,2023
Gus Yalden,122,"La Lumiere School (La Porte, IN)",C,90,2023
Dennis Parker Jr.,123,"John Marshall (Richmond, VA)",SF,90,2023
Gehrig Normand,124,"Birdville (North Richland Hills, TX)",SF,90,2023
Curtis Williams Jr.,125,"Brother Rice (Bloomfield Hills, MI)",SF,90,2023
Jordan Butler,126,"Christ Church Episcopal School (Greenville, SC)",C,90,2023
Jakai Newton,127,"Newton (Covington, GA)",CG,90,2023
Rueben Chinyelu,128,"NBA Academy Africa (South Africa, SOUT)",C,90,2023
BJ Davis,129,"Modesto Christian (Modesto, CA)",PG,90,2023
Tru Washington,130,"Compass Prep (Chandler, AZ)",SG,90,2023
Gabe Cupps,131,"Centerville (Dayton, OH)",PG,90,2023
Drew Fielder,132,"SoCal Academy (Boise, ID)",C,90,2023
JT Toppin,133,"Faith Family Academy of Oak Cliff (Dallas, TX)",PF,90,2023
Justin McBride,134,"Plano (Plano, TX)",PF,90,2023
